Designator,Mid X,Mid Y,Rotation,Layer
BRD1,111.89,-151.55,0.0,top
D1,134.95,-154.78,0.0,top
D10,150.0,-140.19,90.0,top
D12,112.0,-140.19,90.0,top
D13,131.0,-140.19,90.0,top
D14,148.75,-106.56,90.0,top
D15,134.95,-168.02,0.0,top
D16,89.05,-154.6,0.0,top
D17,81.5,-161.4,0.0,top
D18,89.05,-167.84,0.0,top
D2,142.5,-161.4,0.0,top
D4,112.04,-121.19,90.0,top
D5,131.04,-121.19,90.0,top
D6,150.04,-121.19,90.0,top
D8,92.97,-121.23,90.0,top
D9,92.99,-140.23,90.0,top
R1,128.8,-161.39,90.0,top
R2,95.25,-161.39,90.0,top
R3,126.58,-100.69,270.0,top
R4,128.75,-100.69,90.0,top
SW10,102.5,-138.0,0.0,top
SW11,121.5,-138.0,0.0,top
SW13,138.75,-100.25,0.0,top
SW2,102.5,-118.96195,0.0,top
SW3,121.5,-118.96195,0.0,top
SW4,140.5,-118.96195,0.0,top
SW6,83.45,-118.96195,0.0,top
SW7,83.45,-138.00195,0.0,top
SW8,140.5,-138.0,0.0,top
U1,112.0895,-100.812015,0.0,top
